EwE_num,EwE_name,flagdem,N_spp,N_hspn,Pelagic,DepthMin,DepthPrefMin,DepthPrefMax,DepthMax,TempMin,TempPrefMin,TempPrefMax,TempMax,SalinityMin,SalinityPrefMin,SalinityPrefMax,SalinityMax,PrimProdMin,PrimProdPrefMin,PrimProdPrefMax,OxyMin,OxyPrefMin,OxyPrefMax,OxyMax,LandDistMin,LandDistPrefMin,LandDistPrefMax,LandDistMax,NMostLat,SMostLat,WMostLong,EMostLong
42,Deep-water flatfish,1,2,2,0,5.5,343.5,795,1785,-1.27,2.65,11.63,20.02,22.02,30.1,33.48,34.92,1.23,4.19,24.04,4.75,69.06,310.44,360.52,1,11,257,848.5,72,32,-1,31.5
43,Pacific ocean perch adult,1,1,1,0,0,165,293,825,0.22,4.15,10.34,19.06,25.14,30.4,32.82,34.22,2.55,6.36,25.85,11.81,42.98,300.64,353.35,0,11,216,515,64,24,143,-110
44,Pacific ocean perch juvenile,1,1,1,0,0,165,293,825,0.22,4.15,10.34,19.06,25.14,30.4,32.82,34.22,2.55,6.36,25.85,11.81,42.98,300.64,353.35,0,11,216,515,64,24,143,-110
45,Slope rockfish,1,2,2,0,12.5,144.5,461.5,1050,1.08,4.82,10.02,19.06,25.23,30.84,32.83,34.25,3.99,6.42,22.63,14.66,35.17,296.38,353.35,2,12.5,205,434,63.5,33,130,-117
46,Demersal shelf rockfish,1,1,1,0,15,78,255,549,1.2,6.21,13.19,17.67,24.18,29.59,32.94,34.06,4.01,10.98,45.04,9.66,29.27,294.95,312.54,2,10,124,445,60,28,-170,-115
47,Pelagic shelf rockfish,0,1,1,1,6,100,300,675,-0.45,4.01,8.16,19.06,27.65,31.48,32.81,34.15,1.87,6.47,19.8,25.73,49.29,305.88,368.75,2,14,221,381,NA,NA,NA,NA
48,Thornyheads,1,1,1,0,17,91,686,1600,-1.65,4.75,13.19,28.61,24.68,30.82,32.94,35.26,0.54,6.07,31.08,8.17,31.45,293.85,353.35,0,14,217,406,90,0,130,0
49,Sablefish adult,1,1,1,0,175,175,1450,2740,2.28,4.72,12.85,20.56,24.18,30.34,32.86,34.16,1.51,5.7,31.37,8.17,35.13,298.72,363.29,0,12,241,565,64,23,141,-109
50,Sablefish juvenile,1,1,1,0,175,175,1450,2740,2.28,4.72,12.85,20.56,24.18,30.34,32.86,34.16,1.51,5.7,31.37,8.17,35.13,298.72,363.29,0,12,241,565,64,23,141,-109
51,Pacific cod adult,1,1,1,0,10,100,400,1280,1.23,3.8,11.04,19.9,24.18,29.21,32.72,34.15,1.58,6.84,25.11,13.1,82.91,312.26,365.48,0,7,176,356,63,31,119,-119
52,Pacific cod juvenile,1,1,1,0,10,100,400,1280,1.23,3.8,11.04,19.9,24.18,29.21,32.72,34.15,1.58,6.84,25.11,13.1,82.91,312.26,365.48,0,7,176,356,63,31,119,-119
53, Walleye pollock adult,1,1,1,0,1,30,400,1280,-1.2,2.44,9.58,19.9,23.67,29.87,32.77,34.38,1.29,4.97,22.92,11.81,69.26,335.32,368.38,0,9,217,426,68,34,129,-120
54,Walleye pollock juvenile,1,1,1,0,1,30,400,1280,-1.2,2.44,9.58,19.9,23.67,29.87,32.77,34.38,1.29,4.97,22.92,11.81,69.26,335.32,368.38,0,9,217,426,68,34,129,-120
55,Large sculpins,1,1,1,0,257,297,417,604,-1.78,1.54,5.98,9.28,31.05,32.1,34.32,34.82,1.86,5.74,20.23,13.25,92.16,319.06,365.59,1,11,243,401,66,54,154,-134
56,Lingcod,1,1,1,0,0,56,215,475,0.98,6.56,13.19,17.99,24.18,28.81,32.95,34.29,1.92,10.91,49.71,8.17,33.55,299.94,354.45,1,8,116,559,61,31,-172,-116
57,Atka mackerel,1,1,1,0,0,88,318,720,2.3,3.7,7.1,19.06,27.11,31.6,32.85,34.15,2.03,5.8,18.41,26.15,46.71,307.22,354.95,2,15,249,871,64,34,130,-118
58,Shelf demersal fish,1,1,1,0,0,25,120,275,2.37,6.75,12.54,17.25,24.18,25.75,32.83,36.03,3.89,13.69,64.1,10.06,71.02,305.91,334.64,0,4,84,425,62,36,-179,-121
62,Octopus,1,1,1,0,0,197,636,1500,2.37,5.51,14.21,22.55,20.46,25.75,33.09,36.3,4.42,8.14,50.87,10,43.19,298.32,353.35,0,4,124,357,67,22,127,-109
64,King crab,1,1,1,0,0,26,113,240,-0.32,2.77,7.83,19.06,23.83,29.68,32.77,34.37,1.92,4.47,17.33,25.73,92.23,341.39,360.56,0,11,223,412,65,36,127,-126
65,Pandalid shrimp,1,4,4,0,4.75,41,353.25,1377,1.14,3.19,10.23,17.78,20.18,28.02,32.84,35.42,2.34,7.16,24.15,36.67,127.17,321.37,354.82,0.75,7,151.5,380.75,70,35.25,62.75,-51
75,Euphausiids,0,1,1,1,100,213,493,1000,-0.17,5.39,16.52,22.16,24.8,29.8,33.49,34.56,1.97,5.89,30.36,10,46.95,293.57,333.96,1,12,217,1597,NA,22,NA,NA
