"varname","simulation","year","month","biomass_tonnes_km2"
"Cop","ssp126",2026,2,5.70132040170554
"Cop","ssp126",2026,3,10.427700008305
"Cop","ssp126",2026,4,22.5566155560519
"Cop","ssp126",2026,5,37.8175418146382
"Cop","ssp126",2026,6,66.7253389873312
"Cop","ssp126",2026,7,77.8008604943056
"Cop","ssp126",2026,8,58.7501069540789
"Cop","ssp126",2026,9,48.3416050249487
"Cop","ssp126",2026,10,46.2141073723763
"Cop","ssp126",2026,11,28.0348539770679
"Cop","ssp126",2026,12,15.2512904013729
"Cop","ssp126",2027,1,8.88601687968864
"Cop","ssp126",2027,2,5.95137717672696
"Cop","ssp126",2027,3,8.78806792412279
"Cop","ssp126",2027,4,24.7112277117563
"Cop","ssp126",2027,5,61.6352386510834
"Cop","ssp126",2027,6,79.8174356635079
"Cop","ssp126",2027,7,80.4915952780871
"Cop","ssp126",2027,8,63.6832727532721
"Cop","ssp126",2027,9,55.0150596046043
"Cop","ssp126",2027,10,52.0175551646442
"Cop","ssp126",2027,11,32.0002167393681
"Cop","ssp126",2027,12,16.0686525552229
"Cop","ssp126",2028,1,9.89801604998013
"Cop","ssp126",2028,2,8.09266496799252
"Cop","ssp126",2028,3,11.1836653161353
"Cop","ssp126",2028,4,29.6011646757088
"Cop","ssp126",2028,5,60.2795183751238
"Cop","ssp126",2028,6,81.3437466776317
"Cop","ssp126",2028,7,86.5356299584164
"Cop","ssp126",2028,8,56.0200993712192
"Cop","ssp126",2028,9,51.1358838181731
"Cop","ssp126",2028,10,53.1476606969692
"Cop","ssp126",2028,11,31.2875658364802
"Cop","ssp126",2028,12,17.5956128623231
"Cop","ssp126",2029,1,10.5143953585759
"Cop","ssp126",2029,2,8.09014991050694
"Cop","ssp126",2029,3,12.6895222227897
"Cop","ssp126",2029,4,26.3018615854622
"Cop","ssp126",2029,5,61.6977075249615
"Cop","ssp126",2029,6,67.3761966189455
"Cop","ssp126",2029,7,67.9618015011975
"Cop","ssp126",2029,8,57.0485067961613
"Cop","ssp126",2029,9,46.9709561162964
"Cop","ssp126",2029,10,45.0325693381858
"Cop","ssp126",2029,11,32.3912052878098
"Cop","ssp126",2029,12,18.4128208671333
"Cop","ssp126",2030,1,10.918783484138
"Cop","ssp126",2030,2,7.33756387104905
"Cop","ssp126",2030,3,9.88671728946998
"Cop","ssp126",2030,4,24.9552659843296
"Cop","ssp126",2030,5,64.0188576988981
"Cop","ssp126",2030,6,74.8209334400497
