DIETS,transient_killers,toothed_whales,gray_whales,baleen_whales,pinnipeds,walrus_bd_seals,nf_seal_juv,nf_seal_adu,ice_seals,oth_birds,murres_puffins,kittiwakes,auklets,fulmars,albatross,sharks,pollock_juv,pollock_adu,pcod_juv,pcod_adu,herring,arrowtooth_juv,arrowtooth_adu,kamchatka,gr_turbot_juv,gr_turbot_adu,halibut_juv,halibut_adu,yf_sole,fh_sole,nr_sole,ak_plaice,oth_flatfish,skates,sablefish,eelpouts,deep_demersals,pac_ocean_perch,oth_rockfish,north_rockfish,shortraker_rock,rougheye_rock,atka,shallow_demersals,lg_sculpins,octopus,squids,salmon_returning,salmon_smolts,mycto_bathy,capelin,sandlance,oth_forage,bairdi,king_crabs,opilio,pandalid,ben_zooplankton,snails_sea_stars,herb_echinoderms,misc_crabs,structural_epifauna,infauna,jellyfish,pel_zooplankton,euphausiids,copepods,pelagic_microbes,benthic_microbes,lg_phytoplankton,sm_phytoplankton
transient_killers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toothed_whales,0.1958513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gray_whales,0.01874199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baleen_whales,0.02117085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pinnipeds,0.4723759,,,,,0.000755652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
walrus_bd_seals,,,,,,0.000857252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nf_seal_juv,0.04379213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nf_seal_adu,0.2480678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kittiwakes,,,,,,,,,,,,,,0.0000806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
auklets,,,,,,,,,,,,,,0.000213437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fulmars,,,,,,,,,,,,,,0.0000633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
albatross,,,,,,,,,,,,,,0.0000122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharks,,0.00084872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pollock_juv,,0.1249452,,0.0715913,0.317977,0.01807079,0.4999999,0.4999999,0.4703902,0.005930566,0.2614391,0.2232362,0.002550183,0.2927758,0.1729958,,0.009778797,0.044069,0.006682734,0.02866408,,0.2185271,0.4691475,0.5751821,0.01199148,0.2714976,,0.0190125,0.008716694,0.1329669,0.000807894,,0.02676898,0.001297138,,0.000013787,,,,,,,,3.02666E-05,0.09529791,,,,,,,,,,,,,,,,,,,9.61521E-05,,,,,,,
pollock_adu,,0.009852435,,,0.1413326,,0.2,0.2,,,,,,,,0.2,,0.08513201,,0.2642845,,,0.1947673,0.2057292,,0.1053442,,0.5210401,,,,,,0.4133419,0.3406206,0.003942343,,,,,,,,,0.03452072,,,,,,,,,,,,,,,,,,,,,,,,,,
pcod_juv,,0.002547021,,,0.00199088,,,,0.000538085,0.000258593,0.1888303,0.009733707,0.000111195,0.01276583,0.007543092,,,0.000304776,,0.000405023,,,0.0000025,,,,,0.0000114,1.73847E-05,8.52943E-05,,,0.000266244,0.000758076,,,,,,,,,,0.02455785,0.00000424,,,,,,,,,,,,,,,,,,,,,,,,,,
pcod_adu,,0.04439468,,,0.008844431,,,,,,,,,,,,,0.000672848,,0.00536709,,,0.000001211,,,0.001248083,,0.04737716,,,,,,0.00513647,,,,,,,,,,,0.000908861,,,,,,,,,,,,,,,,,,,,,,,,,,
herring,,0.02149298,,0.02387109,0.009532743,0.003148293,0.04688203,0.04688203,0.04673576,0.02890801,4.29594E-05,0.002530668,,,0.000931334,,,0.000895603,,0.002142512,,,0.01342997,,,0.01223129,,0.002626757,,,0.001535666,,,0.001538138,0.000271302,0.000741705,,,,,,,,,0.006707491,,,,,,,,,,,,,,,,,,,9.61521E-05,,,,,,,
arrowtooth_juv,,0.000128525,,,,,0.0000179,0.0000179,,,,,,,,,,,,0.000044498,,,0.003421104,1.19801E-05,,,,,1.1357E-06,,,,,,0.000127775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arrowtooth_adu,,0.01156174,,,,,,,,,,,,,,0.1201747,,0.000838499,,0.000677303,,,0.00000248,,,,,0.000895311,,,,,,0.02114454,,,,,,,,,,,0.0000839,,,,,,,,,,,,,,,,,,,,,,,,,,
kamchatka,,,,,,,,,,,,,,,,0.007135619,,0.000000169,,0.0000647,,,0.00000611,,,,,,,,,,,,,,,,,,,,,,0.000274866,,,,,,,,,,,,,,,,,,,,,,,,,,
gr_turbot_juv,,0.000153843,,,,,,,,,,,,,,,0.000103075,0.000136816,,0.0000612,,,,,,,,,3.84385E-05,3.4709E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gr_turbot_adu,,0.0108834,,,,,,,,,,,,,,0.04445163,,0.000309692,,0.000034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
halibut_juv,,4.13899E-05,,,1.43615E-05,,0.00000536,0.00000536,,,,,,,,,,0.00000187,,0.000140199,,0.000599666,,,,,,0.00000173,0.000132263,,,0.000067773,,0.00107415,,,,,,,,,,,0.00000169,,,,,,,,,,,,,,,,,,,,,,,,,,
halibut_adu,,0.003912593,,,0.001463224,,,,,,,,,,,0.02823806,,0.00000266,,0.000862736,,,,,,,,0.000041,,,,,,2.477E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yf_sole,,0.008106897,,,,,,,,,,,,,,,,0.000000387,,0.007721245,,,0.00028668,,,,,0.03313586,,,,,,0.01389833,,,,,,,,,,0.005927755,0.02606633,,,,,,,,,,,,,,,,,,,,,,,,,,
fh_sole,,0.001843531,,,0.009815724,0.00763885,,,0.000461731,,,,,,,,,0.000226381,,0.003446186,,0.001329797,0.01153425,0.000892729,,0.00000756,,0.01130992,3.888E-07,0.001280844,,,,1.01324E-05,,0.00000738,,,,,,,,0.002881686,0.001994777,,,,,,,,,,,,,,,,,,,,,,,,,,
nr_sole,,0.02414951,,,0.01103407,,0.009318589,0.009318589,,,,,,,,,,0.0000429,,0.01345821,,0.0000138,0.000014923,,,,,0.03251884,0.000361508,9.4302E-06,,,,0.07246831,,,,,,,,,,,0.009624424,,,,,,,,,,,,,,,,,,,,,,,,,,
