Climate,Frate,Region,Model,Species,year,totB,SSB,Catch,,Scenario
stable_climate,F0,WGOA,Rpath,ATF,2078,1854820.324,701438.964,0,,base
stable_climate,F0,WGOA,Rpath,POL,2079,3448531.129,2082560.541,0,,base
stable_climate,F0,WGOA,Rpath,COD,2079,629050.3492,133383.7233,0,,base
stable_climate,F0,WGOA,Rpath,ATF,2079,1855583.575,701818.1809,0,,base
stable_climate,F0,WGOA,Rpath,POL,2080,3450510.206,2083795.075,0,,base
stable_climate,F0,WGOA,Rpath,COD,2080,629519.686,133394.6647,0,,base
stable_climate,F0,WGOA,Rpath,ATF,2080,1856281.877,702183.5106,0,,base
stable_climate,F0,WGOA,Rpath,POL,2081,3452264.972,2084877.994,0,,base
stable_climate,F0,WGOA,Rpath,COD,2081,629952.1998,133399.2045,0,,base
stable_climate,F0,WGOA,Rpath,ATF,2081,1856914.86,702534.9404,0,,base
stable_climate,F0,WGOA,Rpath,POL,2082,3453798.632,2085814.318,0,,base
stable_climate,F0,WGOA,Rpath,COD,2082,630349.0822,133399.0232,0,,base
stable_climate,F0,WGOA,Rpath,ATF,2082,1857481.414,702870.6711,0,,base
stable_climate,F0,WGOA,Rpath,POL,2083,3455154.614,2086634.348,0,,base
stable_climate,F0,WGOA,Rpath,COD,2083,630712.5287,133396.5792,0,,base
stable_climate,F0,WGOA,Rpath,ATF,2083,1857980.924,703188.0683,0,,base
stable_climate,F0,WGOA,Rpath,POL,2084,3456401.871,2087383.227,0,,base
stable_climate,F0,WGOA,Rpath,COD,2084,631045.63,133394.5471,0,,base
stable_climate,F0,WGOA,Rpath,ATF,2084,1858414.242,703484.8053,0,,base
stable_climate,F0,WGOA,Rpath,POL,2085,3457613.859,2088107.27,0,,base
stable_climate,F0,WGOA,Rpath,COD,2085,631351.9206,133395.2226,0,,base
stable_climate,F0,WGOA,Rpath,ATF,2085,1858784.039,703759.7961,0,,base
stable_climate,F0,WGOA,Rpath,POL,2086,3458849.885,2088842.475,0,,base
stable_climate,F0,WGOA,Rpath,COD,2086,631634.8582,133400.053,0,,base
stable_climate,F0,WGOA,Rpath,ATF,2086,1859094.55,704013.6616,0,,base
stable_climate,F0,WGOA,Rpath,POL,2087,3460142.445,2089607.177,0,,base
