"year","Species","totB","SSB","Catch","Climate","Frate","Region","Model","Scenario"
2044,"ATF",1786321.45933638,672076.51170172,0,"persistence","F0","WGOA","Rpath","base"
2045,"POL",3232129.83445466,1946441.28662591,0,"persistence","F0","WGOA","Rpath","base"
2045,"COD",563105.03108761,132301.977257937,0,"persistence","F0","WGOA","Rpath","base"
2045,"ATF",1788678.91616366,673124.96433473,0,"persistence","F0","WGOA","Rpath","base"
2046,"POL",3243038.89815594,1953285.20659492,0,"persistence","F0","WGOA","Rpath","base"
2046,"COD",567469.443806087,132132.227558909,0,"persistence","F0","WGOA","Rpath","base"
2046,"ATF",1791165.98236696,674127.577500617,0,"persistence","F0","WGOA","Rpath","base"
2047,"POL",3253899.02698841,1960080.96989681,0,"persistence","F0","WGOA","Rpath","base"
2047,"COD",571632.642410459,131983.521423647,0,"persistence","F0","WGOA","Rpath","base"
2047,"ATF",1793759.75190101,675147.333192512,0,"persistence","F0","WGOA","Rpath","base"
2048,"POL",3264566.71748003,1966741.80233102,0,"persistence","F0","WGOA","Rpath","base"
2048,"COD",575581.988371376,131931.75766415,0,"persistence","F0","WGOA","Rpath","base"
2048,"ATF",1796427.53649411,676225.595367577,0,"persistence","F0","WGOA","Rpath","base"
2049,"POL",3274984.5987135,1973237.83699131,0,"persistence","F0","WGOA","Rpath","base"
2049,"COD",579314.403518599,131961.328752136,0,"persistence","F0","WGOA","Rpath","base"
2049,"ATF",1799134.20283709,677377.756730328,0,"persistence","F0","WGOA","Rpath","base"
2050,"POL",3285166.03765318,1979583.86729819,0,"persistence","F0","WGOA","Rpath","base"
2050,"COD",582829.510134582,132062.350800019,0,"persistence","F0","WGOA","Rpath","base"
2050,"ATF",1801848.61560346,678596.030505162,0,"persistence","F0","WGOA","Rpath","base"
2051,"POL",3295159.36302152,1985814.67416532,0,"persistence","F0","WGOA","Rpath","base"
2051,"COD",586137.833132283,132230.420279157,0,"persistence","F0","WGOA","Rpath","base"
2051,"ATF",1804547.90533286,679856.956332233,0,"persistence","F0","WGOA","Rpath","base"
2052,"POL",3305013.45653437,1991963.59172196,0,"persistence","F0","WGOA","Rpath","base"
2052,"COD",589258.053718065,132407.364711826,0,"persistence","F0","WGOA","Rpath","base"
2052,"ATF",1807218.36442313,681130.169731946,0,"persistence","F0","WGOA","Rpath","base"
2053,"POL",3314753.38543877,1998047.52990852,0,"persistence","F0","WGOA","Rpath","base"
2053,"COD",592209.804984882,132557.996957206,0,"persistence","F0","WGOA","Rpath","base"
2053,"ATF",1809854.03346874,682386.431874436,0,"persistence","F0","WGOA","Rpath","base"
2054,"POL",3324364.00060412,2004055.97582943,0,"persistence","F0","WGOA","Rpath","base"
2054,"COD",595010.578743507,132661.099902592,0,"persistence","F0","WGOA","Rpath","base"
2054,"ATF",1812454.25735516,683603.569301747,0,"persistence","F0","WGOA","Rpath","base"
2055,"POL",3333785.19510864,2009949.0964008,0,"persistence","F0","WGOA","Rpath","base"
2055,"COD",597672.11875891,132721.870160339,0,"persistence","F0","WGOA","Rpath","base"
2055,"ATF",1815020.43865882,684769.064822243,0,"persistence","F0","WGOA","Rpath","base"
2056,"POL",3342916.00849266,2015661.47832785,0,"persistence","F0","WGOA","Rpath","base"
2056,"COD",600200.670635657,132745.630131489,0,"persistence","F0","WGOA","Rpath","base"
2056,"ATF",1817553.13635294,685879.751630871,0,"persistence","F0","WGOA","Rpath","base"
2057,"POL",3351630.66382985,2021113.041975,0,"persistence","F0","WGOA","Rpath","base"
2057,"COD",602597.412961279,132738.782455531,0,"persistence","F0","WGOA","Rpath","base"
2057,"ATF",1820049.80447707,686939.184738316,0,"persistence","F0","WGOA","Rpath","base"
2058,"POL",3359812.74848384,2026231.55429753,0,"persistence","F0","WGOA","Rpath","base"
2058,"COD",604858.653160593,132721.099850879,0,"persistence","F0","WGOA","Rpath","base"
2058,"ATF",1822503.719781,687953.954001124,0,"persistence","F0","WGOA","Rpath","base"
2059,"POL",3367394.63896052,2030977.96768549,0,"persistence","F0","WGOA","Rpath","base"
2059,"COD",606980.883512672,132710.911627091,0,"persistence","F0","WGOA","Rpath","base"
2059,"ATF",1824904.58225502,688930.442896602,0,"persistence","F0","WGOA","Rpath","base"
2060,"POL",3374379.99272818,2035359.46496805,0,"persistence","F0","WGOA","Rpath","base"
2060,"COD",608963.555814581,132720.672824476,0,"persistence","F0","WGOA","Rpath","base"
2060,"ATF",1827240.43553824,689872.791411794,0,"persistence","F0","WGOA","Rpath","base"
2061,"POL",3380836.25624207,2039422.51710303,0,"persistence","F0","WGOA","Rpath","base"
2061,"COD",610810.451051153,132769.888825797,0,"persistence","F0","WGOA","Rpath","base"
2061,"ATF",1829500.22805258,690782.497481597,0,"persistence","F0","WGOA","Rpath","base"
2062,"POL",3386865.32619333,2043232.73249176,0,"persistence","F0","WGOA","Rpath","base"
2062,"COD",612530.164208745,132838.461714619,0,"persistence","F0","WGOA","Rpath","base"
2062,"ATF",1831675.92262621,691659.286332676,0,"persistence","F0","WGOA","Rpath","base"
2063,"POL",3392571.0176122,2046853.92138959,0,"persistence","F0","WGOA","Rpath","base"
2063,"COD",614132.646563546,132918.844849146,0,"persistence","F0","WGOA","Rpath","base"
2063,"ATF",1833763.21607078,692502.196837802,0,"persistence","F0","WGOA","Rpath","base"
2064,"POL",3398033.9869769,2050333.0447418,0,"persistence","F0","WGOA","Rpath","base"
2064,"COD",615628.889042356,133000.390289611,0,"persistence","F0","WGOA","Rpath","base"
2064,"ATF",1835761.23381301,693310.627641962,0,"persistence","F0","WGOA","Rpath","base"
2065,"POL",3403296.64251318,2053691.96187292,0,"persistence","F0","WGOA","Rpath","base"
2065,"COD",617029.591685184,133072.76471025,0,"persistence","F0","WGOA","Rpath","base"
2065,"ATF",1837671.62438891,694085.119457699,0,"persistence","F0","WGOA","Rpath","base"
2066,"POL",3408357.02809247,2056924.48638526,0,"persistence","F0","WGOA","Rpath","base"
2066,"COD",618343.498907464,133128.607463072,0,"persistence","F0","WGOA","Rpath","base"
2066,"ATF",1839497.15378742,694827.35814525,0,"persistence","F0","WGOA","Rpath","base"
2067,"POL",3413171.40995002,2059998.71720921,0,"persistence","F0","WGOA","Rpath","base"
2067,"COD",619576.437871859,133164.757012333,0,"persistence","F0","WGOA","Rpath","base"
2067,"ATF",1841240.36253514,695539.686516737,0,"persistence","F0","WGOA","Rpath","base"
2068,"POL",3417669.06269085,2062867.19771167,0,"persistence","F0","WGOA","Rpath","base"
2068,"COD",620731.311783735,133182.612208538,0,"persistence","F0","WGOA","Rpath","base"
2068,"ATF",1842902.46097922,696224.292080373,0,"persistence","F0","WGOA","Rpath","base"
2069,"POL",3421779.70780304,2065485.0898305,0,"persistence","F0","WGOA","Rpath","base"
2069,"COD",621809.022984453,133187.805766661,0,"persistence","F0","WGOA","Rpath","base"
2069,"ATF",1844482.5732115,696882.177462525,0,"persistence","F0","WGOA","Rpath","base"
2070,"POL",3425465.55354028,2067830.60728346,0,"persistence","F0","WGOA","Rpath","base"
2070,"COD",622810.165197158,133194.90488399,0,"persistence","F0","WGOA","Rpath","base"
2070,"ATF",1845978.00623045,697512.688658806,0,"persistence","F0","WGOA","Rpath","base"
2071,"POL",3428741.20400052,2069916.58161546,0,"persistence","F0","WGOA","Rpath","base"
2071,"COD",623736.870991808,133201.435754466,0,"persistence","F0","WGOA","Rpath","base"
2071,"ATF",1847385.46276312,698113.824293324,0,"persistence","F0","WGOA","Rpath","base"
2072,"POL",3431671.09309723,2071786.94978212,0,"persistence","F0","WGOA","Rpath","base"
2072,"COD",624592.361891153,133212.321644592,0,"persistence","F0","WGOA","Rpath","base"
2072,"ATF",1848702.50351508,698683.076580948,0,"persistence","F0","WGOA","Rpath","base"
2073,"POL",3434348.48942953,2073501.93022333,0,"persistence","F0","WGOA","Rpath","base"
2073,"COD",625381.570393649,133229.868543528,0,"persistence","F0","WGOA","Rpath","base"
2073,"ATF",1849928.72336043,699218.56505403,0,"persistence","F0","WGOA","Rpath","base"
2074,"POL",3436868.77451057,2075120.78769219,0,"persistence","F0","WGOA","Rpath","base"
2074,"COD",626110.685032782,133254.056796036,0,"persistence","F0","WGOA","Rpath","base"
2074,"ATF",1851066.14187518,699719.959418097,0,"persistence","F0","WGOA","Rpath","base"
2075,"POL",3439307.6262812,2076688.63535618,0,"persistence","F0","WGOA","Rpath","base"
2075,"COD",626786.186829228,133282.923526674,0,"persistence","F0","WGOA","Rpath","base"
2075,"ATF",1852118.79319141,700188.854339664,0,"persistence","F0","WGOA","Rpath","base"
2076,"POL",3441707.28647067,2078228.64555037,0,"persistence","F0","WGOA","Rpath","base"
2076,"COD",627413.97381833,133313.277271843,0,"persistence","F0","WGOA","Rpath","base"
2076,"ATF",1853091.88260198,700628.608046555,0,"persistence","F0","WGOA","Rpath","base"
2077,"POL",3444070.7883872,2079739.13695832,0,"persistence","F0","WGOA","Rpath","base"
2077,"COD",627998.728061156,133341.765545951,0,"persistence","F0","WGOA","Rpath","base"
2077,"ATF",1853990.82852933,701043.734903977,0,"persistence","F0","WGOA","Rpath","base"
2078,"POL",3446364.66586384,2081195.9029654,0,"persistence","F0","WGOA","Rpath","base"
2078,"COD",628543.61289057,133365.849344119,0,"persistence","F0","WGOA","Rpath","base"
2078,"ATF",1854820.32369709,701438.964040203,0,"persistence","F0","WGOA","Rpath","base"
2079,"POL",3448531.12895751,2082560.54109477,0,"persistence","F0","WGOA","Rpath","base"
2079,"COD",629050.349157763,133383.723312253,0,"persistence","F0","WGOA","Rpath","base"
2079,"ATF",1855583.57463003,701818.180924606,0,"persistence","F0","WGOA","Rpath","base"
2080,"POL",3450510.20636846,2083795.07461311,0,"persistence","F0","WGOA","Rpath","base"
2080,"COD",629519.686014807,133394.66469605,0,"persistence","F0","WGOA","Rpath","base"
2080,"ATF",1856281.87685619,702183.510626641,0,"persistence","F0","WGOA","Rpath","base"
2081,"POL",3452264.97180631,2084877.99353621,0,"persistence","F0","WGOA","Rpath","base"
2081,"COD",629952.199796893,133399.204482644,0,"persistence","F0","WGOA","Rpath","base"
2081,"ATF",1856914.85954257,702534.940391771,0,"persistence","F0","WGOA","Rpath","base"
2082,"POL",3453798.63157093,2085814.31845732,0,"persistence","F0","WGOA","Rpath","base"
2082,"COD",630349.082213474,133399.023242068,0,"persistence","F0","WGOA","Rpath","base"
2082,"ATF",1857481.41354903,702870.671146891,0,"persistence","F0","WGOA","Rpath","base"
2083,"POL",3455154.61384572,2086634.34761632,0,"persistence","F0","WGOA","Rpath","base"
2083,"COD",630712.52867368,133396.57917055,0,"persistence","F0","WGOA","Rpath","base"
2083,"ATF",1857980.92437762,703188.068345977,0,"persistence","F0","WGOA","Rpath","base"
2084,"POL",3456401.87081976,2087383.22686185,0,"persistence","F0","WGOA","Rpath","base"
2084,"COD",631045.630008654,133394.547066337,0,"persistence","F0","WGOA","Rpath","base"
2084,"ATF",1858414.2415808,703484.805289988,0,"persistence","F0","WGOA","Rpath","base"
2085,"POL",3457613.85940682,2088107.26980836,0,"persistence","F0","WGOA","Rpath","base"
2085,"COD",631351.920634995,133395.222635024,0,"persistence","F0","WGOA","Rpath","base"
2085,"ATF",1858784.03930461,703759.796145661,0,"persistence","F0","WGOA","Rpath","base"
2086,"POL",3458849.88481792,2088842.4748401,0,"persistence","F0","WGOA","Rpath","base"
2086,"COD",631634.858238355,133400.052971849,0,"persistence","F0","WGOA","Rpath","base"
2086,"ATF",1859094.55028467,704013.66162734,0,"persistence","F0","WGOA","Rpath","base"
2087,"POL",3460142.44535123,2089607.17714101,0,"persistence","F0","WGOA","Rpath","base"
2087,"COD",631897.391284196,133409.350954055,0,"persistence","F0","WGOA","Rpath","base"
2087,"ATF",1859350.89963175,704248.679209941,0,"persistence","F0","WGOA","Rpath","base"
2088,"POL",3461491.72077733,2090399.16907243,0,"persistence","F0","WGOA","Rpath","base"
2088,"COD",632141.679432529,133422.259261154,0,"persistence","F0","WGOA","Rpath","base"
2088,"ATF",1859558.29245513,704468.286840774,0,"persistence","F0","WGOA","Rpath","base"
