Group,Type,Biomass,PB,QB,EE,ProdCons,BioAcc,Unassim,DetInput,Disc.offal,PelDetFate,BenthDetFate,F_Trawl,F_Codpot,F_Longline,F_Halibut,F_Crabpot,F_Salmon,F_Herring,F_Indigenous,F_Subsistence,Disc_Trawl,Disc_Codpot,Disc_Longline,Disc_Halibut,Disc_Crabpot,Disc_Salmon,Disc_Herring,Disc_Indigenous,Disc_Subsistence
sm_phytoplankton,1,39.17679,110.9194,,,,0,0,,0,0.4,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
discards_offal,2,,0.5,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pelagic_detritus,2,,0.5,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
benthic_detritus,2,,0.5,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trawl,3,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,
cod_pots,3,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,
longline,3,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,
halibut_fishery,3,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,
crab_pots,3,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,
salmon_fishery,3,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,
herring_fishery,3,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,
indigenous,3,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,
subsistence,3,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,
