"tstep","year","mo","cop","eup","mzl","phl","phs","temp_b5","temp_s5"
189,1985,9,1.01736116442969,1.02410908000641,0.952043635921495,0.858418749008629,0.724692001797739,1.01428465451898,0.966476705590252
190,1985,10,0.947490465601273,0.945646923357087,0.892497685571309,0.760911291836313,0.666308878665605,1.03339198002508,0.926089360120174
191,1985,11,0.840094093611788,0.865696380293993,0.77056379249323,0.527797994818057,0.403793825347553,1.02681916771934,0.964793988787028
192,1985,12,0.405070398306534,0.416808194262436,0.493862310566545,0.576976875098355,0.487054293331607,1.30057260561045,1.39492438621004
193,1986,1,0.239703097635881,0.142169747259561,0.549613148444824,0.850296318349828,0.951890547275911,1.15619835815033,1.30058682852635
194,1986,2,0.565872937377531,0.524611265906281,0.433458163418248,0.725565331058278,0.949509093167937,1.18615738099766,1.50040321229781
195,1986,3,0.294279308141217,0.32026394963643,0.200710664783986,0.760302251892669,1.20852031554125,0.759430994296244,0.813290870151537
196,1986,4,0.441666912096532,0.42339578342079,0.509543685017795,1.00963456013227,1.26872403762377,0.684506223828065,0.708435246778974
197,1986,5,0.87877779033808,0.850791570132786,0.880563092285573,0.893104723626356,0.913230611485115,0.734999545538425,0.705519729642803
198,1986,6,0.986386304519826,0.981341720265261,0.952059155159403,0.959681203186445,0.931242768585561,0.814357318397233,0.909293620592876
199,1986,7,1.02618525197305,1.0510148047885,1.00963039214556,0.957385531758065,0.892846945117285,0.85326340279166,0.97605177483435
200,1986,8,1.04153584078978,1.06479308555568,1.00403907954765,0.944334625551605,0.903791534410704,0.895024178228996,0.925571392703847
201,1986,9,1.08367491519143,1.1132682913259,1.1206971557288,1.20668173295122,1.20370513138724,0.95467926372197,0.908458008315648
202,1986,10,1.02012194950964,1.06328001691377,1.02772619549967,1.06094465138841,1.75743822110923,0.974328206934202,1.0236552894185
203,1986,11,0.930208013234842,0.972417152901171,0.997207034450803,0.887193043305549,1.1823609866464,1.0475971297677,1.16333812932266
204,1986,12,0.406228620266843,0.424291451163135,0.548735071560699,0.601109268252988,0.459619089843733,1.24417959920382,1.36145555451519
205,1987,1,0.379438315681243,0.249208948409225,0.792448451013004,0.933350901108155,0.910341497709686,1.2593583308758,1.44493471098633
206,1987,2,0.827213333990078,0.749870401579805,0.666928042236348,0.784637327231526,0.991981163416698,1.34940422865558,1.63274263015741
207,1987,3,1.44267878817695,1.25404855307448,0.706093990742176,0.959721530848682,1.33903188199315,1.63548234185741,2.19281145948046
208,1987,4,1.25269740310088,1.19409074094154,0.96080529991555,0.733546257903404,1.30983915345277,1.84023185605969,2.07450797252735
209,1987,5,1.0593529700219,1.10857742958618,1.03031015583266,0.939268740592341,1.43627531905812,1.49010288655993,1.30070736812309
210,1987,6,1.00957181123323,1.02260563260895,1.06774761312218,0.846754285194465,1.16162502643381,1.38045604289678,0.995076228233039
211,1987,7,0.975357083770762,0.969354422941723,0.997396319841961,0.801925139788918,0.895554144050969,1.30475859517377,1.05600538700624
212,1987,8,0.933867209065407,0.937711868596514,1.00392919484987,0.892194305385219,0.798085488342893,1.29824480990557,1.06201362417155
213,1987,9,0.856561328946197,0.853899249786448,0.95665253762566,0.80764505456064,0.642587217870335,1.25036397488673,1.02483414886511
214,1987,10,0.988913349519743,0.973292723323819,1.03892491830456,1.00373429824957,0.454775685208133,1.23104161515193,0.989934195174799
215,1987,11,0.962731612919868,0.965716075948779,0.945952602000931,0.949823281805477,0.44503101566415,1.16932406380307,1.00946885126665
216,1987,12,0.61153757075742,0.627265527864265,0.628097466952912,0.492686444369595,0.494679659122539,0.990186747370074,1.02524380545823
217,1988,1,0.344401219013674,0.224331163756577,0.587970810669172,0.621497209263655,0.917785401909111,1.19582605265675,1.45170928517649
218,1988,2,0.537396942359682,0.500505126198386,0.177742231956627,0.533926273958155,1.03816207143227,1.24428301490757,1.53195449985976
219,1988,3,0.348357397706804,0.306567554634417,0.076802180528348,0.463233587475643,1.09431465155193,0.768175657318305,0.800166467763675
220,1988,4,0.300633074329641,0.274063927037482,0.188414281471418,0.512123247155593,0.897819828233041,0.560813613604167,0.237613226370594
221,1988,5,0.66937729704445,0.682768528624952,0.675941672248126,0.932856983793973,1.06047249568205,0.84342211751589,0.795912220379644
222,1988,6,0.981226842131535,0.986735260827289,1.00204115170127,1.10285017933608,1.14861074267275,0.973380568440892,0.854061631423655
223,1988,7,1.00828894766156,1.02047363929002,1.03079216557607,0.854291091697819,0.842253265138722,1.00896876714026,1.02504999581968
224,1988,8,0.864691522486577,0.877389937708268,0.82345047743266,0.715883259432807,0.485080640162481,1.05521561075055,0.988593574374676
225,1988,9,0.929516188644677,0.923424255834612,0.952555517247019,1.02119520180687,0.415943559672842,1.09028344717446,0.972324542503851
226,1988,10,1.09695533499393,1.09431721218044,1.21301919621074,1.23967101312812,0.459899188049752,1.12764687568845,1.06389460345285
