"tstep","year","month","btemp","stemp"
778,2044,10,7.75929046045671,10.7695074469454
779,2044,11,7.3652334382293,8.87491695573063
780,2044,12,6.84803234396455,7.84523417258176
781,2045,1,5.63770713470083,6.09772246273508
782,2045,2,4.67920208049632,5.06216636373336
783,2045,3,4.41539951539878,4.85875259917722
784,2045,4,4.46728684456891,4.83585566389218
785,2045,5,5.08181437450439,6.53673304384386
786,2045,6,5.8549653742604,9.35315927177396
787,2045,7,6.54876512201211,12.9269966410888
788,2045,8,7.21119009933294,14.8601413621492
789,2045,9,7.57238049127008,12.1129470210629
790,2045,10,7.72507444727136,10.4002149894798
791,2045,11,7.28573264455811,8.69898465994003
792,2045,12,6.67894595558429,7.5985673359554
793,2046,1,5.47131820018333,5.99922574530964
794,2046,2,4.93278450215514,5.41443479738052
795,2046,3,4.62913559730881,5.04016716306319
796,2046,4,4.73942648617777,5.02097111406889
797,2046,5,5.35052570421771,7.3461936640087
798,2046,6,6.12676910604202,10.559290416862
799,2046,7,6.69748585685217,12.8198877056022
800,2046,8,7.31640823644112,13.6597666199985
801,2046,9,7.70541187914884,12.2275390080769
802,2046,10,7.70849441804961,9.70047811114037
803,2046,11,7.07405962431096,7.77780047341966
804,2046,12,6.60457858459871,7.1656972375203
805,2047,1,5.80592347297234,6.36408454036673
806,2047,2,5.13021747672838,5.61964683526671
807,2047,3,4.97110972113807,5.4995659179467
808,2047,4,5.17671373242285,5.68386622691362
809,2047,5,5.80814510902279,7.90992674904668
810,2047,6,6.55544896527629,11.1447189419338
811,2047,7,7.20618852994432,13.9687089426866
812,2047,8,7.8629241769408,15.7448354984965
813,2047,9,8.30749446379717,14.3591299314052
814,2047,10,8.30134457635907,10.547603218168
815,2047,11,7.42986982324198,8.597479358239
816,2047,12,6.4766648581751,7.32218396564335
817,2048,1,5.12207440976812,5.75980112616571
818,2048,2,4.74799504277452,5.32836970960787
819,2048,3,4.32266787557917,4.72736573264728
820,2048,4,4.46985056573806,4.79319874314535
821,2048,5,5.1619638329828,6.89351504786459
822,2048,6,5.95893334420167,9.71767613083187
823,2048,7,6.64502112918076,13.0584691116207
824,2048,8,7.25029470822213,14.3960089258014
825,2048,9,7.60700728221388,12.2819688393766
826,2048,10,7.76731159980756,10.6479714630513
827,2048,11,7.08529624385948,8.27248319557023
828,2048,12,6.34701328503319,7.19568297942641
829,2049,1,5.71599777698573,6.40188289568534
830,2049,2,5.54700213087464,6.24607385157146
831,2049,3,5.3821245461413,6.03604240622466
832,2049,4,5.42766895242369,5.99491673197789
833,2049,5,6.07105437608378,8.39419990270344
834,2049,6,6.77318131169588,10.7147926489472
835,2049,7,7.28533770119246,13.2225783714205
836,2049,8,7.73857703215468,13.7375094494451
837,2049,9,8.11016357052597,13.0517294800584
838,2049,10,8.23562183597062,10.3706048458828
839,2049,11,7.85439649494169,9.14367799027337
840,2049,12,7.05156272166899,7.9639223889598
841,2050,1,6.12811280758751,6.83307667986446
842,2050,2,5.38283846409416,6.00514276034387
843,2050,3,5.32479491206996,6.00649607905694
844,2050,4,5.10653931189383,5.48903097792681
845,2050,5,5.72166232389766,7.43098610784414
846,2050,6,6.52598914161015,10.0415843581476
847,2050,7,7.05161186977547,12.4160908702194
848,2050,8,7.47930951375963,13.4514748174149
849,2050,9,7.83273528091618,12.50541167765
850,2050,10,7.74713480606361,9.57695196082984
851,2050,11,7.02993143923872,8.06445658322258
852,2050,12,5.8735928656308,6.52225581527882
853,2051,1,5.11702545421939,5.56953065051081
854,2051,2,4.65520628053137,5.19487384944473
855,2051,3,4.08729572148187,4.54807701696485
856,2051,4,4.21859426275298,4.57919403619558
857,2051,5,4.89035841112219,6.40927112565354
858,2051,6,5.75743503026556,9.54449832458328
859,2051,7,6.46526679825339,12.6293079446599
860,2051,8,6.96033363929852,13.2108301921121
861,2051,9,7.32723800770407,12.308550808965
862,2051,10,7.46304037585596,10.1921123115192
863,2051,11,6.99315087283814,8.26785512117548
864,2051,12,6.43596163473377,7.46043319342354
865,2052,1,5.69517777912561,6.48592593421572
866,2052,2,5.21006009672183,5.93584302131297
867,2052,3,4.85541875423762,5.5510758159476
868,2052,4,4.76421707455645,5.26457275516643
869,2052,5,5.43324278136378,7.29767031347414
870,2052,6,6.26387597929443,10.8610595153602
871,2052,7,6.93554551860079,13.1645274791082
872,2052,8,7.44668351874311,14.0296901051844
873,2052,9,7.846396860397,12.8160696914565
874,2052,10,7.93661612283517,10.2485733643298
875,2052,11,7.33968509342373,8.42847073770193
876,2052,12,6.92170308626634,7.81659561338552
877,2053,1,5.95421865707055,6.71169313975938
878,2053,2,5.54940038691546,6.2330118916455
879,2053,3,5.36084526570222,5.95964830131332
880,2053,4,5.51180246025118,6.09533488459261
881,2053,5,6.09093515502534,8.58699169775458
882,2053,6,6.70826098094532,10.8335707140332
883,2053,7,7.23788393807342,13.832724008482
884,2053,8,7.74208852707437,14.7724431120571
885,2053,9,8.14995543347853,13.4003211117536
886,2053,10,8.34577273443755,10.6169271415945
887,2053,11,7.69871917466251,8.98986247894783
888,2053,12,6.16809560605095,6.87255299652446
889,2054,1,5.15835173660462,5.63880332612985
890,2054,2,4.61220992740736,5.08377951913587
