"","tstep","year","month","btemp","stemp","rec"
"507",639,2033,3,4.81533238605336,5.52263715150293,0.968111450134146
"508",640,2033,4,4.89517489605254,5.34193005620333,0.929813774687002
"509",641,2033,5,5.42985296091112,7.52830645651122,1
"510",642,2033,6,6.17582602645317,10.5726514745435,1
"511",643,2033,7,6.77249420944168,12.8890274065956,1
"512",644,2033,8,7.17080397811526,13.2559668777886,1
"513",645,2033,9,7.42353501451861,12.0667586465863,1
"514",646,2033,10,7.64653294028611,10.3931187786844,1
"515",647,2033,11,7.25179813140635,8.63196999207496,1
"516",648,2033,12,6.30336122539389,6.87045850079718,1
"517",649,2034,1,5.36796347644037,5.47858629157251,1
"518",650,2034,2,4.53416841121209,4.57031216274134,0.997808174210921
"519",651,2034,3,3.60943016105201,3.75148237186534,0.900014574899632
"520",652,2034,4,3.91856381674517,4.67826660740642,0.93713172491016
"521",653,2034,5,4.67363242479385,6.40306129226155,1
"522",654,2034,6,5.44712455540549,9.10587210409052,1
"523",655,2034,7,6.16026133425079,12.3750209668799,1
"524",656,2034,8,6.63634231599657,12.2786341619344,1
"525",657,2034,9,7.04405441801856,11.7286966216088,1
"526",658,2034,10,7.11947925191417,9.45397037701849,1
"527",659,2034,11,6.72761038314579,7.82342948078175,1
"528",660,2034,12,5.63775288023109,6.14483452544519,1
"529",661,2035,1,4.68064343820963,4.96486700092343,1
"530",662,2035,2,3.95865614755316,4.13141235221836,0.914170135350231
"531",663,2035,3,3.48434071702069,3.51631172502313,0.76130780721572
"532",664,2035,4,3.68239958997288,4.12058531430676,0.815908183365278
"533",665,2035,5,4.42516501261363,5.75135376714515,1
"534",666,2035,6,5.21786946974983,8.21996113225249,1
"535",667,2035,7,5.80436205379315,11.6068381099762,1
"536",668,2035,8,6.28331880065928,13.0966758068247,1
"537",669,2035,9,6.61984676988396,12.1240620886443,1
"538",670,2035,10,6.44878461779126,8.6769122215427,1
"539",671,2035,11,6.04988873938492,7.13288351601901,1
"540",672,2035,12,5.66700620442666,6.21026068920967,1
"541",673,2036,1,5.07119402119538,5.4121901386506,1
"542",674,2036,2,4.79427807442027,5.02835989894134,0.99691751152427
"543",675,2036,3,4.6018792374355,5.0708038592096,0.998406390979309
"544",676,2036,4,4.80227871243295,5.18206215678197,0.996534047008694
"545",677,2036,5,5.39142471559696,7.5002538753433,1
"546",678,2036,6,6.08677115580564,9.94259324430091,1
"547",679,2036,7,6.65450841801519,12.8492692894729,1
"548",680,2036,8,7.09938870052061,13.4273426528209,1
"549",681,2036,9,7.32539527707459,11.9110455113401,1
"550",682,2036,10,7.3391841100807,9.6758220038826,1
"551",683,2036,11,6.80688713536651,7.85168311997054,1
"552",684,2036,12,5.96668194079292,6.41129214740357,1
"553",685,2037,1,5.27156510034033,5.68044282707341,1
"554",686,2037,2,5.08910623434148,5.40017142190129,0.914169921190913
"555",687,2037,3,4.99768779320766,5.43136621105799,0.95040794251533
"556",688,2037,4,5.14703187063593,5.77765232239711,0.920763176738424
"557",689,2037,5,5.69823186200113,8.15020202085518,1
"558",690,2037,6,6.40580765983195,11.2172302645954,1
"559",691,2037,7,7.06300100615339,14.3926967010976,1
"560",692,2037,8,7.55521370059315,15.1080258191042,1
"561",693,2037,9,7.81637468277814,13.5989462272215,1
"562",694,2037,10,8.13822532082941,11.6824557881143,1
"563",695,2037,11,7.73812528559267,9.472597209941,1
"564",696,2037,12,6.85818782072194,7.91596246767399,1
"565",697,2038,1,5.85804822311488,6.58100720104439,1
"566",698,2038,2,5.57560575873048,6.09281076378074,0.992887839837041
"567",699,2038,3,5.36667625200591,5.90533398076537,0.985870653882599
"568",700,2038,4,5.35757971938204,5.7845835319109,0.998509275555863
"569",701,2038,5,5.88516755953994,8.74961586135986,1
"570",702,2038,6,6.50150032218592,10.7295705430014,1
"571",703,2038,7,6.95000708694166,13.1417785117675,1
"572",704,2038,8,7.36345087553098,14.2418990929508,1
"573",705,2038,9,7.56734632357119,12.3744420493044,1
"574",706,2038,10,7.79283900778708,10.5066023821961,1
"575",707,2038,11,7.19245473491708,8.42809711814615,1
"576",708,2038,12,5.97901484512002,6.73203832459781,1
"577",709,2039,1,5.50160503240371,6.03320899846627,1
"578",710,2039,2,5.30400916001637,5.81464110219308,0.881378111460262
"579",711,2039,3,4.59406273221513,5.03670771288266,0.867332739020643
"580",712,2039,4,4.73194932019912,5.34746781021,0.881287684215507
"581",713,2039,5,5.38930948176906,7.59854043944123,1
"582",714,2039,6,6.15098330026207,10.4689878422401,1
"583",715,2039,7,6.68903692382868,13.1521165203965,1
"584",716,2039,8,7.10761225749278,13.6299480827922,1
"585",717,2039,9,7.34683927024098,12.4435540437224,1
"586",718,2039,10,7.45442818250625,10.5122973138222,1
"587",719,2039,11,6.75803500064841,8.03077875084317,1
"588",720,2039,12,6.27284731794021,6.98713597532749,1
"589",721,2040,1,5.40779254569384,5.92424541230321,1
"590",722,2040,2,5.27701600718758,5.83348243017337,0.957104179056451
"591",723,2040,3,5.22659949367285,5.89352379019624,0.953879907019614
"592",724,2040,4,5.26091759370834,5.72004000383977,0.923459627862799
"593",725,2040,5,5.70433923586982,7.91318182063316,1
"594",726,2040,6,6.3956593837407,10.1725335322229,1
"595",727,2040,7,6.86992423895238,12.6199239854504,1
"596",728,2040,8,7.34584282939946,14.0167991956895,1
"597",729,2040,9,7.66706996459884,13.0120206249641,1
"598",730,2040,10,7.75552362221753,10.2424370925305,1
"599",731,2040,11,7.37033906125249,8.87370758610784,1
"600",732,2040,12,6.05199899734215,7.09422779498949,1
"601",733,2041,1,4.76238174166824,5.39212786847776,1
"602",734,2041,2,4.15581253859924,4.60467893458401,0.971489699711714
"603",735,2041,3,3.83637584974931,4.20645589803362,0.993924652356803
"604",736,2041,4,4.09397139545413,4.70454484020405,0.948993157235421
"605",737,2041,5,4.79442471420013,6.50058405013083,1
"606",738,2041,6,5.60576821208747,9.83456137798344,1
"607",739,2041,7,6.33267503881641,13.3334987747782,1
"608",740,2041,8,6.86436726927833,13.8880846617347,1
"609",741,2041,9,7.39573465824105,12.9841903926607,1
"610",742,2041,10,7.65726439128183,10.9316475107199,1
"611",743,2041,11,7.03858209754389,8.49790391962835,1
"612",744,2041,12,5.7040436324991,6.41953449056204,1
"613",745,2042,1,4.97287301286757,5.52186257260241,1
"614",746,2042,2,4.74718846498098,5.30672646561122,0.898166349699481
"615",747,2042,3,4.23353328685628,4.56263540449671,0.939018026662124
"616",748,2042,4,4.48072708814495,5.0776886882156,0.887554126349227
"617",749,2042,5,5.17419088582844,7.56514957917514,1
"618",750,2042,6,5.90816580755577,10.5991807426162,1
"619",751,2042,7,6.61886144804794,13.8836146497523,1
"620",752,2042,8,7.22642847580284,14.7606186678862,1
"621",753,2042,9,7.7767372725097,13.5090075317113,1
"622",754,2042,10,7.87328703436515,10.725421528984,1
"623",755,2042,11,7.35424445433313,8.85200856343464,1
"624",756,2042,12,6.49830709260932,7.42756126607744,1
"625",757,2043,1,5.64865222076585,6.0301536673761,1
"626",758,2043,2,5.3825232078672,5.58425935214183,0.753504663838094
"627",759,2043,3,5.31292668526834,5.66613496224602,0.825382159030239
"628",760,2043,4,5.31913456809382,5.87039953637089,0.822828501998055
"629",761,2043,5,5.94005680322633,8.16402156404889,1
"630",762,2043,6,6.59877044328956,10.8600206829228,1
"631",763,2043,7,7.14704165208312,13.5747624191826,1
"632",764,2043,8,7.73390242137765,14.6068353409938,1
"633",765,2043,9,8.13890129159027,13.5746429213761,1
"634",766,2043,10,8.3053931449823,11.0516572742157,1
"635",767,2043,11,7.72177016568406,9.12194066336962,1
"636",768,2043,12,7.09469279959934,7.9312515877553,1
"637",769,2044,1,5.87375502208836,6.33788961639968,1
"638",770,2044,2,5.54337485652993,5.70629672284778,0.872281444321913
"639",771,2044,3,5.26531068880068,5.56063162344387,0.926463784984362
"640",772,2044,4,5.46119417164138,6.23281879641266,0.90825777268198
"641",773,2044,5,6.01951599071247,8.69135249560131,1
"642",774,2044,6,6.67331469226616,11.5474181414248,1
"643",775,2044,7,7.30180609992893,14.3752646311711,1
"644",776,2044,8,7.81799747831228,14.8747737942647,1
"645",777,2044,9,8.3077349048647,13.9986358783014,1
"646",778,2044,10,8.46860435513969,11.185047876157,1
"647",779,2044,11,7.61494703912391,8.91638723268779,1
"648",780,2044,12,6.65631808064169,7.30536723247541,1
"649",781,2045,1,5.60790525274528,6.03086141703506,1
"650",782,2045,2,5.054243134385,5.42693001065037,0.976641316575397
"651",783,2045,3,4.80056946202146,5.12832304273467,0.935163860336495
"652",784,2045,4,4.8691417242767,5.34030019517247,0.984956037077021
"653",785,2045,5,5.51983912308096,7.54334716513347,1
"654",786,2045,6,6.30128077726729,11.9317570147281,1
"655",787,2045,7,6.97597377440726,14.9432979095499,1
"656",788,2045,8,7.42240090550167,14.3017229524558,1
"657",789,2045,9,7.72963966364276,12.6760384754216,1
"658",790,2045,10,7.67463260860247,10.0344106379111,1
"659",791,2045,11,7.00954915632407,8.03648383156753,1
"660",792,2045,12,6.24205467424975,6.90769594070042,1
"661",793,2046,1,5.54215375254614,5.96970954715147,1
"662",794,2046,2,4.74694706789739,5.04762723019241,0.988999254115013
"663",795,2046,3,4.00616716482844,4.14841387548752,0.907192842270164
"664",796,2046,4,4.09673086840189,4.43040498267083,0.949621688904966
"665",797,2046,5,4.71396382961541,6.6491519823501,1
"666",798,2046,6,5.56084300132695,9.66789243190663,1
"667",799,2046,7,6.25316998863336,12.6871720092817,1
"668",800,2046,8,6.72459542235923,12.6087181743159,1
"669",801,2046,9,7.10791057832705,11.7696718859598,1
"670",802,2046,10,7.25524054887469,9.44232037080914,1
"671",803,2046,11,7.00341051311803,8.14826316159582,1
"672",804,2046,12,6.34944433557617,7.08100009795389,1
"673",805,2047,1,5.16811959813136,5.4123462506705,1
"674",806,2047,2,4.68271566681089,4.38728256871595,0.931010628772014
"675",807,2047,3,3.95234993591444,3.93809735406463,0.966818927135557
"676",808,2047,4,4.09000452263043,4.15787725290248,0.929296004929349
"677",809,2047,5,4.69144196801313,5.71138713720724,1
"678",810,2047,6,5.45578677384557,9.10625822034259,1
"679",811,2047,7,6.08570926501858,12.4426655435767,1
"680",812,2047,8,6.50918890952556,13.5638526189838,1
"681",813,2047,9,6.79780729213833,11.2722390168584,1
"682",814,2047,10,6.96202779595164,9.29744080482741,1
"683",815,2047,11,6.72898495806281,7.84182962042483,1
"684",816,2047,12,5.96687383054464,6.72513710188869,1
"685",817,2048,1,5.37901116514047,5.61926650546966,1
"686",818,2048,2,4.92688507565696,5.1345892933275,0.858805994733752
"687",819,2048,3,4.11028064726926,4.51487798176548,0.882918655229979
"688",820,2048,4,4.48767309025872,5.4504971504729,0.842939926652643
"689",821,2048,5,5.18568871647208,7.76752440576005,1
"690",822,2048,6,5.99098081413175,10.6300080310609,1
"691",823,2048,7,6.52640789140196,12.1212457908844,1
"692",824,2048,8,6.94843814935113,12.822594752989,1
"693",825,2048,9,7.24459512903421,11.8356474393149,1
"694",826,2048,10,7.26160700961117,9.76526838041613,1
"695",827,2048,11,6.95015425894072,8.04105488035233,1
"696",828,2048,12,6.31694196388165,6.84150917562418,1
"697",829,2049,1,5.6611918245961,6.06490045525282,1
"698",830,2049,2,5.37849042516862,5.89802335996791,0.718869380876902
"699",831,2049,3,5.29570886184652,5.83887799645504,0.780102027286511
"700",832,2049,4,5.4252084122227,6.23684894927745,0.782757558197372
"701",833,2049,5,6.06787097403525,9.36062698227933,1
"702",834,2049,6,6.77223648531903,12.3632538980245,1
"703",835,2049,7,7.30139766469595,14.2169946873641,1
"704",836,2049,8,7.80965721322479,14.9518226107294,1
"705",837,2049,9,8.10497062350565,12.7391572196131,1
"706",838,2049,10,8.37992672323066,10.6464911628144,1
"707",839,2049,11,7.66506237910256,8.90946534766851,1
