"varname","simulation","year","biomass_tonnes_km2","annual_mean_mtkm2","anomaly_ratio_mtkm2"
"MZS","ssp585",2065,29.2468668940888,29.5275759504318,0.990493325398123
"MZS","ssp585",2066,27.6791227308704,29.5275759504318,0.937399086783674
"MZS","ssp585",2067,30.7316879277424,29.5275759504318,1.04077923563153
"MZS","ssp585",2068,25.8975371230087,29.5275759504318,0.877062755387815
"MZS","ssp585",2069,26.179908435183,29.5275759504318,0.886625725021636
"MZS","ssp585",2070,24.7381297680279,29.5275759504318,0.837797515432895
"MZS","ssp585",2071,25.3805797439154,29.5275759504318,0.859555142166834
"MZS","ssp585",2072,27.0056125910044,29.5275759504318,0.914589556431552
"MZS","ssp585",2073,31.2329777082956,29.5275759504318,1.0577562398189
"MZS","ssp585",2074,26.1972782993109,29.5275759504318,0.887213984083504
"MZS","ssp585",2075,24.9005763458798,29.5275759504318,0.843299036388243
"MZS","ssp585",2076,21.6814564562678,29.5275759504318,0.734278238507104
"MZS","ssp585",2077,27.9857434033355,29.5275759504318,0.947783300949439
"MZS","ssp585",2078,28.1503362001349,29.5275759504318,0.953357507144884
"MZS","ssp585",2079,26.7739723002938,29.5275759504318,0.906744676408232
"MZS","ssp585",2080,21.8696669190701,29.5275759504318,0.740652295866849
"MZS","ssp585",2081,30.348475491858,29.5275759504318,1.02780111522884
"MZS","ssp585",2082,30.6270260491752,29.5275759504318,1.03723468870553
"MZS","ssp585",2083,23.1749378058273,29.5275759504318,0.784857444604707
"MZS","ssp585",2084,23.8787612950749,29.5275759504318,0.808693586468473
"MZS","ssp585",2085,22.4069412333275,29.5275759504318,0.758847975565019
"MZS","ssp585",2086,24.0420874907313,29.5275759504318,0.814224897129753
"MZS","ssp585",2087,23.700738681589,29.5275759504318,0.802664557408153
"MZS","ssp585",2088,27.1744725603997,29.5275759504318,0.920308277456223
"MZS","ssp585",2089,29.9905762971919,29.5275759504318,1.01568026943821
"MZS","ssp585",2090,25.980448163802,29.5275759504318,0.879870674362692
"MZS","ssp585",2091,26.0775348755987,29.5275759504318,0.883158675787518
"MZS","ssp585",2092,25.5764667985681,29.5275759504318,0.866189179955154
"MZS","ssp585",2093,20.9818396646193,29.5275759504318,0.710584563387177
"MZS","ssp585",2094,20.6891620860304,29.5275759504318,0.700672555063833
"MZS","ssp585",2095,22.6486809390244,29.5275759504318,0.767034888913501
"MZS","ssp585",2096,26.3534015735816,29.5275759504318,0.892501355946769
"MZS","ssp585",2097,26.7275182894399,29.5275759504318,0.905171434807504
"MZS","ssp585",2098,24.0318910326328,29.5275759504318,0.813879577279739
"MZS","ssp585",2099,27.3478397892958,29.5275759504318,0.926179644248645
"NCa","ssp126",1980,16.1820669739881,12.712681451405,1.27290745354117
"NCa","ssp126",1981,10.7505397986815,12.712681451405,0.845654777064623
"NCa","ssp126",1982,9.778348654219,12.712681451405,0.769180655678137
"NCa","ssp126",1983,12.2036366971577,12.712681451405,0.959957719683829
"NCa","ssp126",1984,10.8762760122952,12.712681451405,0.855545390157882
"NCa","ssp126",1985,11.6468653992505,12.712681451405,0.916161192567545
"NCa","ssp126",1986,12.6894095001697,12.712681451405,0.998169390830383
