"simulation","depthclass","year","annual_avg_temp"
"ssp245","Surface",2007,7.24591114789687
"ssp245","Surface",2008,7.21070042958862
"ssp245","Surface",2009,7.45213621383354
"ssp245","Surface",2010,7.76671251011647
"ssp245","Surface",2011,7.32717121531919
"ssp245","Surface",2012,7.00557054072905
"ssp245","Surface",2013,7.77356731639718
"ssp245","Surface",2014,8.92955297897905
"ssp245","Surface",2015,8.96643037435941
"ssp245","Surface",2016,9.48664156418706
"ssp245","Surface",2017,8.35586997640178
"ssp245","Surface",2018,8.48014950288171
"ssp245","Surface",2019,9.22541576054562
"ssp245","Surface",2020,8.26860694542282
"ssp245","Surface",2021,7.17863742341773
"ssp245","Surface",2022,8.2066378000104
"ssp245","Surface",2023,7.62458209091254
"ssp245","Surface",2024,8.71990216123132
"ssp245","Surface",2025,8.21404808022425
"ssp245","Surface",2026,8.50411686654822
"ssp245","Surface",2027,8.41826573121059
"ssp245","Surface",2028,8.63761996402166
"ssp245","Surface",2029,8.11463406795177
"ssp245","Surface",2030,8.41818745855203
"ssp245","Surface",2031,7.98373109780577
"ssp245","Surface",2032,8.58031197926501
"ssp245","Surface",2033,8.29453297235104
"ssp245","Surface",2034,8.48213807057915
"ssp245","Surface",2035,9.12453274426774
"ssp245","Surface",2036,8.8552269458778
"ssp245","Surface",2037,8.61023784288027
"ssp245","Surface",2038,8.90103162349291
"ssp245","Surface",2039,8.96766789930712
"ssp245","Surface",2040,9.18901816375677
"ssp245","Surface",2041,9.14689667416717
"ssp245","Surface",2042,8.57834053137676
"ssp245","Surface",2043,8.6647018919932
"ssp245","Surface",2044,8.95268430693532
"ssp245","Surface",2045,8.61185345123598
"ssp245","Surface",2046,8.56095433803758
"ssp245","Surface",2047,9.39681251050941
"ssp245","Surface",2048,8.58937591709244
"ssp245","Surface",2049,9.27316091359583
"ssp245","Surface",2050,8.69524655731661
"ssp245","Surface",2051,8.32621121460066
"ssp245","Surface",2052,8.99167286222028
"ssp245","Surface",2053,9.4087567898715
"ssp245","Surface",2054,8.94928581094128
"ssp245","Surface",2055,9.19595847479782
"ssp245","Surface",2056,9.41568859024401
"ssp245","Surface",2057,9.53292169963916
"ssp245","Surface",2058,8.927926809813
"ssp245","Surface",2059,8.23870374153409
"ssp245","Surface",2060,9.46871313118422
"ssp245","Surface",2061,9.43254450579064
"ssp245","Surface",2062,9.44957474777962
"ssp245","Surface",2063,9.31105361365784
"ssp245","Surface",2064,9.61812555852544
"ssp245","Surface",2065,8.57638947201657
"ssp245","Surface",2066,8.51407882594365
"ssp245","Surface",2067,8.66631396856355
"ssp245","Surface",2068,8.67082353602625
"ssp245","Surface",2069,9.26640649887612
"ssp245","Surface",2070,9.14450743108706
"ssp245","Surface",2071,8.66731900151356
"ssp245","Surface",2072,9.56437012021951
"ssp245","Surface",2073,8.68869768718715
"ssp245","Surface",2074,8.54920450177192
"ssp245","Surface",2075,9.09379876803769
"ssp245","Surface",2076,9.31934296660225
"ssp245","Surface",2077,8.81288517604736
"ssp245","Surface",2078,8.77176985304579
"ssp245","Surface",2079,8.7331681743244
"ssp245","Surface",2080,9.14260817423293
"ssp245","Surface",2081,8.85052116711643
"ssp245","Surface",2082,9.94259472305195
"ssp245","Surface",2083,10.0428511422042
"ssp245","Surface",2084,9.49658503782723
"ssp245","Surface",2085,9.45277116253267
"ssp245","Surface",2086,9.46576744984693
"ssp245","Surface",2087,9.43306290591091
"ssp245","Surface",2088,10.1251130851482
"ssp245","Surface",2089,10.8023644717098
"ssp245","Surface",2090,10.3349897682003
"ssp245","Surface",2091,9.28307785056525
"ssp245","Surface",2092,9.79112480846251
"ssp245","Surface",2093,9.67209609505997
"ssp245","Surface",2094,9.43268713116685
"ssp245","Surface",2095,9.83414198067219
"ssp245","Surface",2096,8.90565107223738
"ssp245","Surface",2097,9.14093530702005
"ssp245","Surface",2098,9.708911024745
"ssp245","Surface",2099,8.57511829270806
"ssp585","Bottom",1980,5.22594645860972
"ssp585","Bottom",1981,5.30426026696422
"ssp585","Bottom",1982,5.82810587074587
"ssp585","Bottom",1983,5.82232406571743
"ssp585","Bottom",1984,5.52736498668215
"ssp585","Bottom",1985,5.2348151717652
"ssp585","Bottom",1986,5.58304198109205
"ssp585","Bottom",1987,5.40960633823346
"ssp585","Bottom",1988,5.13000284896122
"ssp585","Bottom",1989,5.3342310265528
"ssp585","Bottom",1990,5.0171447236463
"ssp585","Bottom",1991,4.82970722188093
"ssp585","Bottom",1992,5.18423369429298
"ssp585","Bottom",1993,4.98024213125013
"ssp585","Bottom",1994,4.89707497477733
"ssp585","Bottom",1995,5.02621519690858
"ssp585","Bottom",1996,5.37019229149599
"ssp585","Bottom",1997,5.55417472758995
"ssp585","Bottom",1998,5.90336983944286
"ssp585","Bottom",1999,5.23384541121539
"ssp585","Bottom",2000,5.34063161610023
"ssp585","Bottom",2001,5.71906942946763
"ssp585","Bottom",2002,5.46455608786996
"ssp585","Bottom",2003,6.14252356030708
"ssp585","Bottom",2004,5.51586845537829
"ssp585","Bottom",2005,5.81439290693848
"ssp585","Bottom",2006,5.52820328870693
"ssp585","Bottom",2007,4.96118065252103
"ssp585","Bottom",2008,5.20252761731025
"ssp585","Bottom",2009,5.20646455503824
"ssp585","Bottom",2010,5.67342273899913
"ssp585","Bottom",2011,5.33218214784502
"ssp585","Bottom",2012,5.06484122921044
"ssp585","Bottom",2013,5.56274649829398
"ssp585","Bottom",2014,6.19722491654479
"ssp585","Bottom",2015,6.33580217140638
"ssp585","Bottom",2016,6.61093039241933
"ssp585","Bottom",2017,6.09272561059471
"ssp585","Bottom",2018,6.10102488669366
"ssp585","Bottom",2019,6.4663702581123
"ssp585","Bottom",2020,5.83106180581064
"ssp585","Bottom",2021,5.43646331672779
"ssp585","Bottom",2022,5.92886877866036
"ssp585","Bottom",2023,5.16182857563559
"ssp585","Bottom",2024,4.84962011839603
"ssp585","Bottom",2025,5.53463476781557
"ssp585","Bottom",2026,6.14398018995703
"ssp585","Bottom",2027,5.54791245339833
"ssp585","Bottom",2028,6.21762806426723
"ssp585","Bottom",2029,6.09169178746744
"ssp585","Bottom",2030,5.96251790420446
"ssp585","Bottom",2031,6.33430667528262
"ssp585","Bottom",2032,6.44514761052712
"ssp585","Bottom",2033,6.18587186610729
"ssp585","Bottom",2034,5.57303195243383
"ssp585","Bottom",2035,5.19352346342159
"ssp585","Bottom",2036,5.99498929156144
"ssp585","Bottom",2037,6.4815465280856
"ssp585","Bottom",2038,6.44914089240226
"ssp585","Bottom",2039,6.10839316496023
"ssp585","Bottom",2040,6.361085247803
"ssp585","Bottom",2041,5.68678346161826
"ssp585","Bottom",2042,6.07204536032517
"ssp585","Bottom",2043,6.69531378365232
"ssp585","Bottom",2044,6.75032278167085
"ssp585","Bottom",2045,6.26726918804206
"ssp585","Bottom",2046,5.78004808929206
"ssp585","Bottom",2047,5.59091754304895
"ssp585","Bottom",2048,5.94405532592917
"ssp585","Bottom",2049,6.73568356924021
"ssp585","Bottom",2050,6.54352227037069
"ssp585","Bottom",2051,6.27278910828178
"ssp585","Bottom",2052,6.30704381848767
"ssp585","Bottom",2053,6.58632042598746
"ssp585","Bottom",2054,6.60144267616148
"ssp585","Bottom",2055,6.76892777759925
"ssp585","Bottom",2056,6.23607656497629
"ssp585","Bottom",2057,6.65385997270867
"ssp585","Bottom",2058,6.2213126372255
"ssp585","Bottom",2059,6.79763058166034
"ssp585","Bottom",2060,6.25932687790355
"ssp585","Bottom",2061,7.14296447339274
"ssp585","Bottom",2062,6.58538545071935
"ssp585","Bottom",2063,6.23765171513445
"ssp585","Bottom",2064,6.63872720396144
"ssp585","Bottom",2065,7.10940665318532
"ssp585","Bottom",2066,6.90735073864405
"ssp585","Bottom",2067,7.33343321885029
"ssp585","Bottom",2068,7.11055454498197
"ssp585","Bottom",2069,6.7580273190808
"ssp585","Bottom",2070,7.35157335181166
"ssp585","Bottom",2071,7.04588749492109
"ssp585","Bottom",2072,6.73630792297318
"ssp585","Bottom",2073,7.45474420611303
"ssp585","Bottom",2074,7.472071614151
"ssp585","Bottom",2075,7.34511682436474
"ssp585","Bottom",2076,6.78202407844693
"ssp585","Bottom",2077,6.84298634050821
"ssp585","Bottom",2078,7.14159398499914
"ssp585","Bottom",2079,7.21187227843711
"ssp585","Bottom",2080,7.21077115351274
"ssp585","Bottom",2081,7.25089586778576
"ssp585","Bottom",2082,7.39304656258089
"ssp585","Bottom",2083,7.11136469501725
"ssp585","Bottom",2084,6.73674535694109
"ssp585","Bottom",2085,6.96664537991114
"ssp585","Bottom",2086,7.54700289718949
"ssp585","Bottom",2087,7.46688616897084
"ssp585","Bottom",2088,7.45686219051082
"ssp585","Bottom",2089,7.78419566885498
"ssp585","Bottom",2090,7.6988310642967
"ssp585","Bottom",2091,8.01039976827948
"ssp585","Bottom",2092,8.200129021416
"ssp585","Bottom",2093,7.97635622260036
"ssp585","Bottom",2094,7.76006218616598
"ssp585","Bottom",2095,7.2170808321436
"ssp585","Bottom",2096,7.36966332577458
"ssp585","Bottom",2097,6.22583380091281
"ssp585","Bottom",2098,6.9367572533321
"ssp585","Bottom",2099,8.03353373061832
"ssp585","Surface",1980,6.79921865583157
"ssp585","Surface",1981,7.4581592813357
"ssp585","Surface",1982,7.86930477913169
"ssp585","Surface",1983,7.79996497810041
"ssp585","Surface",1984,7.40987031253829
"ssp585","Surface",1985,6.9624265281143
"ssp585","Surface",1986,7.919313112435
"ssp585","Surface",1987,7.42421273329713
"ssp585","Surface",1988,7.32008947814839
"ssp585","Surface",1989,7.28511462665885
"ssp585","Surface",1990,7.15953714081179
"ssp585","Surface",1991,6.93304630118979
