"tstep","year","month","btemp","stemp"
907,2055,7,7.23723380975231,13.5795285676632
908,2055,8,7.88196565728715,14.5584985454848
909,2055,9,8.32086789413521,13.652322549542
910,2055,10,8.61941372921963,11.0664106743604
911,2055,11,8.02084201662958,9.42251611493663
912,2055,12,7.10830545976823,7.80422708805015
913,2056,1,5.88161031032401,6.433012158275
914,2056,2,5.16262224934517,5.57099050183588
915,2056,3,4.41944652599862,4.73513840811596
916,2056,4,4.52257732497477,5.00291776445284
917,2056,5,5.22831799817087,7.44274578455832
918,2056,6,6.02730746790333,10.9892942213843
919,2056,7,6.73283075928782,14.182029376993
920,2056,8,7.2358052144466,14.1117642564751
921,2056,9,7.6080492653547,12.4638235283636
922,2056,10,7.93332421579413,10.8517053382251
923,2056,11,7.41479803625897,8.61086290025831
924,2056,12,6.66622941185646,7.41295171051061
925,2057,1,5.4127351662817,5.71757443978738
926,2057,2,5.28029423645646,5.67209657190556
927,2057,3,5.13160680046314,5.51498786076718
928,2057,4,5.17816176076285,5.48437773841348
929,2057,5,5.76482528410434,7.87888795927507
930,2057,6,6.46587730016456,10.713335961576
931,2057,7,7.12187815605269,13.6087292188573
932,2057,8,7.68668316524069,14.4201303784772
933,2057,9,8.13199448306121,13.0473318052889
934,2057,10,8.40939633609591,10.9627121949759
935,2057,11,7.83093739528138,9.24056941926893
936,2057,12,7.43192958853907,8.29108167550488
937,2058,1,5.72148115485746,6.22226213228993
938,2058,2,4.75888125282476,5.02743001710268
939,2058,3,4.43184303046045,4.67465650684698
940,2058,4,4.39410536052468,4.89411865414479
941,2058,5,5.14798657076482,7.46674185050571
942,2058,6,5.95068311873825,10.8897620501084
943,2058,7,6.72034940119306,14.5784191981454
944,2058,8,7.43307356719718,15.3815224671078
945,2058,9,7.81962478278108,13.3961604697602
946,2058,10,7.97609183090044,10.8720597651649
947,2058,11,7.33215023384833,8.41054643465492
948,2058,12,6.96948134261553,7.54237620604023
949,2059,1,6.03082185512801,6.55396994655959
950,2059,2,5.66137973527075,6.23847033967913
951,2059,3,5.46535251099489,6.05201065078042
952,2059,4,5.55676236440665,6.08482480616275
953,2059,5,6.10321205592109,8.58981474382735
954,2059,6,6.72920265945415,11.1257685537792
955,2059,7,7.28704261569827,14.0963944546983
956,2059,8,7.84085660049112,15.4317918114492
957,2059,9,8.15320042801872,13.9861717420724
958,2059,10,8.2277280668313,11.072799214119
959,2059,11,7.58004400067287,9.07823333947506
960,2059,12,6.93596408703629,7.6678738739936
961,2060,1,5.74626873483225,6.12775842532978
962,2060,2,4.91452879670314,5.21240838068212
963,2060,3,4.49238053889169,4.74409254002903
964,2060,4,4.67489845537926,5.15141773979189
965,2060,5,5.36856927806608,7.7394614378696
966,2060,6,6.09833484523647,10.0899505892765
967,2060,7,6.77578847449636,13.0858932091315
968,2060,8,7.3476273617205,14.2153922493056
969,2060,9,7.76938128640704,13.4824893509358
970,2060,10,7.84349040631038,10.7355222807614
971,2060,11,7.41699661919612,8.74821542856781
972,2060,12,6.6636577376033,7.04655323544196
973,2061,1,5.84790197347372,6.15656874193804
974,2061,2,5.83851165012645,6.42538224455546
975,2061,3,5.81037205259142,6.49986559560102
976,2061,4,5.86312115451176,6.614959201463
977,2061,5,6.41834724446137,9.78722328787231
978,2061,6,7.08978012414743,12.2358774896987
979,2061,7,7.68487117750265,15.2676331504571
980,2061,8,8.27191260567837,16.8434245620034
981,2061,9,8.65443884735711,14.7387287865807
982,2061,10,8.70240803017552,11.3676310879769
983,2061,11,8.12595429017277,9.50492480976456
984,2061,12,7.40795453051431,8.14568586483449
985,2062,1,6.02859965071775,6.59466380020773
986,2062,2,5.53890666795751,6.04462769719658
987,2062,3,5.01981250190516,5.44770789218579
988,2062,4,5.11148532439535,5.59457927255573
989,2062,5,5.73140335447576,7.78403236654015
990,2062,6,6.39095520028726,10.0722029379401
991,2062,7,7.07904381452708,13.3561575896026
992,2062,8,7.64996449813557,14.2877426126444
993,2062,9,7.98442110436966,12.9472255662896
994,2062,10,7.96209036053509,10.2087798089529
995,2062,11,7.49872765596524,8.86881096604856
996,2062,12,7.02921527536079,7.55618889186278
997,2063,1,5.92984525235702,6.38161372958006
998,2063,2,5.49122203801196,5.76375317762833
999,2063,3,5.05853063241064,4.98514231338643
1000,2063,4,4.76964263905242,4.91257415124167
1001,2063,5,5.30553414306728,6.83315136471883
1002,2063,6,6.05904300059184,10.1237934108895
1003,2063,7,6.63785296466243,12.6769925716427
1004,2063,8,7.18942000938292,14.1234635869587
1005,2063,9,7.62984601064515,12.327133069129
1006,2063,10,7.69694011711403,9.67389238157258
1007,2063,11,7.00873469589552,7.99273392862002
1008,2063,12,6.07520907842222,6.7191257874267
1009,2064,1,5.55667208770122,6.04998159380722
1010,2064,2,5.30414675415143,5.84934426636983
1011,2064,3,5.20594138930294,5.79105488928592
1012,2064,4,5.38077693658269,5.70591894388597
1013,2064,5,5.89589006616892,8.10968471417949
1014,2064,6,6.52835904367538,10.7361393542532
1015,2064,7,7.18572927728663,14.5451173711767
1016,2064,8,7.77303551184125,15.283315684355
1017,2064,9,8.16106476926972,13.8194594786756
1018,2064,10,8.38322850908294,11.4902431405946
1019,2064,11,7.5641249529518,8.85403427814525
1020,2064,12,6.72575714952233,7.50010881449469
1021,2065,1,6.19375237398485,6.93346611481796
1022,2065,2,5.99517470950605,6.67768350843595
1023,2065,3,5.84006240043933,6.45611582030418
1024,2065,4,5.77568257881819,6.62924383815319
1025,2065,5,6.36172335540969,9.42658431602467
1026,2065,6,7.07163360855601,12.7227553444079
1027,2065,7,7.7205113265122,15.794001608115
1028,2065,8,8.28513849990438,15.8826257830567
1029,2065,9,8.59879736121034,13.9144023858874
1030,2065,10,8.54339381535766,10.6225007315133
1031,2065,11,7.78477206596513,9.05146568232448
1032,2065,12,7.14223774255998,7.94338844935909
1033,2066,1,6.19314846662419,6.79653818122826
1034,2066,2,5.66363901962815,6.34142588290825
1035,2066,3,5.36404333740527,5.90454061581354
1036,2066,4,5.43968287443679,6.05260870114147
1037,2066,5,6.0687488535274,8.51650793631499
1038,2066,6,6.82253315230733,12.1923444676199
1039,2066,7,7.51962112933961,15.4487941269537
1040,2066,8,8.04143680237788,15.0672631871226
1041,2066,9,8.39467145780048,14.03625855362
1042,2066,10,8.58970499243398,11.4365466613745
1043,2066,11,7.79142985545062,9.08659653310412
1044,2066,12,6.99954892239685,7.68544428282783
1045,2067,1,6.10340588956788,6.64688024825176
1046,2067,2,6.05883024865958,6.74014034233776
1047,2067,3,6.08074682559865,7.08410884971912
1048,2067,4,6.14155258350784,7.01790896114277
1049,2067,5,6.65570454391652,9.76149738244627
1050,2067,6,7.27963274620728,12.6712151331237
1051,2067,7,7.86091023085297,15.661883609114
1052,2067,8,8.35481090283628,16.0834899932084
1053,2067,9,8.72019875970087,14.9875680275184
1054,2067,10,8.98715440639245,11.9892728006458
1055,2067,11,8.23229090279329,9.84242558995249
1056,2067,12,7.52596058616988,8.56286733949177
1057,2068,1,6.37518786126419,7.07088639059224
1058,2068,2,5.95052667512421,6.5152935093424
1059,2068,3,5.77732414210945,6.51743394403852
1060,2068,4,5.89929649026366,6.78488879930845
1061,2068,5,6.51656454412397,9.7446797492237
1062,2068,6,7.07905300664506,11.5097109712497
1063,2068,7,7.6911370835576,15.0089880259297
1064,2068,8,8.19694960573642,15.3452591234374
1065,2068,9,8.49907123485436,14.321563214537
1066,2068,10,8.67030031900192,11.5301837505249
1067,2068,11,8.01974235123271,9.54206615426555
1068,2068,12,6.65150122587012,7.54907795355237
1069,2069,1,5.65415636591523,6.21749809755772
