"simulation","depthclass","date","year","month","area_weighted_temp"
"ssp126","Bottom",2014-06-15,2014,6,6.17203756929733
"ssp126","Bottom",2014-07-16,2014,7,6.76176758291068
"ssp126","Bottom",2014-08-16,2014,8,7.30838268126313
"ssp126","Bottom",2014-09-15,2014,9,7.52408205180758
"ssp126","Bottom",2014-10-16,2014,10,7.61655928043017
"ssp126","Bottom",2014-11-15,2014,11,7.22110585431139
"ssp126","Bottom",2014-12-16,2014,12,6.82143925900601
"ssp126","Bottom",2015-01-16,2015,1,6.21924233730627
"ssp126","Bottom",2015-02-14,2015,2,5.56715380351757
"ssp126","Bottom",2015-03-16,2015,3,5.20390538283614
"ssp126","Bottom",2015-04-15,2015,4,5.35601254719388
"ssp126","Bottom",2015-05-16,2015,5,5.77607172842712
"ssp126","Bottom",2015-06-15,2015,6,6.32318051552448
"ssp126","Bottom",2015-07-16,2015,7,6.91148098718663
"ssp126","Bottom",2015-08-16,2015,8,7.23770010966746
"ssp126","Bottom",2015-09-15,2015,9,7.22120731084485
"ssp126","Bottom",2015-10-16,2015,10,7.28550182075624
"ssp126","Bottom",2015-11-15,2015,11,6.74875389566715
"ssp126","Bottom",2015-12-16,2015,12,6.17941561794879
"ssp126","Bottom",2016-01-16,2016,1,5.82753547265841
"ssp126","Bottom",2016-02-15,2016,2,5.59726257380879
"ssp126","Bottom",2016-03-16,2016,3,5.48808985762429
"ssp126","Bottom",2016-04-15,2016,4,5.67563944375783
"ssp126","Bottom",2016-05-16,2016,5,6.16877383868799
"ssp126","Bottom",2016-06-15,2016,6,6.73506073621294
"ssp126","Bottom",2016-07-16,2016,7,7.24317425433586
"ssp126","Bottom",2016-08-16,2016,8,7.50907122122143
"ssp126","Bottom",2016-09-15,2016,9,7.55970351153273
"ssp126","Bottom",2016-10-16,2016,10,7.69710827236612
"ssp126","Bottom",2016-11-15,2016,11,7.43261247343471
"ssp126","Bottom",2016-12-16,2016,12,6.3971330533908
"ssp126","Bottom",2017-01-16,2017,1,5.46939808599561
"ssp126","Bottom",2017-02-14,2017,2,4.88791215081262
"ssp126","Bottom",2017-03-16,2017,3,4.2830018867357
"ssp126","Bottom",2017-04-15,2017,4,4.46625429380572
